id,category,subcategory,input,expected_eac,focus,register,confidence,status,notes,tags
EAC-GC-0001,basic,copula,That is Ken.,that = Ken,copula → =,standard,high,golden,,
EAC-GC-0002,basic,copula,Ken is happy.,Ken = happy,copula → =,standard,high,golden,,
EAC-GC-0003,basic,copula,She is a student.,she = student,copula → =,standard,high,golden,,
EAC-GC-0004,basic,transitive,I like dogs.,I.like(dogs),subject.verb(object),standard,high,golden,,
EAC-GC-0005,basic,intransitive,Birds fly.,birds.fly(),subject.verb(),standard,high,golden,,
EAC-GC-0006,modifier,adjective,I bought a red car.,I.bought(car(adjective=red)),adjective attachment,standard,high,golden,,
EAC-GC-0007,modifier,multiple_adjective,I bought a beautiful red car.,"I.bought(car(adjective=[beautiful, red]))",multiple adjectives,standard,high,golden,,
EAC-GC-0008,modifier,adverb,I run quickly.,I.run(adverb=quickly),adverb=value,standard,high,golden,,
EAC-GC-0009,modifier,nested_adverb,I ran very quickly.,I.ran(adverb=very(quickly)),adverb modifies adverb,standard,high,golden,,
EAC-GC-0010,preposition,destination,I went to Tokyo.,I.went(to=Tokyo),preposition=value,standard,high,golden,,
EAC-GC-0011,preposition,multiple,I went to Tokyo with Ken yesterday.,"I.went(to=Tokyo, with=Ken, adverb=yesterday)",multiple modifiers,standard,high,golden,,
EAC-GC-0012,modal,can,I can swim.,can(I.swim()),modal wrapper,standard,high,golden,,
EAC-GC-0013,modal,must,I must go.,must(I.go()),modal wrapper,standard,high,golden,,
EAC-GC-0014,modal,may,I may go.,may(I.go()),modal wrapper,standard,high,golden,,
EAC-GC-0015,modal,will,I will go.,will(I.go()),modal wrapper,standard,high,golden,,
EAC-GC-0016,negation,do_not,I don't like coffee.,!I.like(coffee),negation,standard,high,golden,,
EAC-GC-0017,negation,modal,I can't swim.,!can(I.swim()),modal negation,standard,high,golden,,
EAC-GC-0018,question,yes_no,Do you like coffee?,you.like(coffee)?,question,standard,high,golden,,
EAC-GC-0019,question,wh_object,What do you like?,you.like(?),unknown object,standard,high,golden,,
EAC-GC-0020,question,where,Where does Ken live?,Ken.live(where=?),unknown location,standard,high,golden,,
EAC-GC-0021,question,when,When did she arrive?,she.arrive(when=?),unknown time,standard,high,golden,,
EAC-GC-0022,question,who_subject,Who broke this?,?.broke(this),unknown subject,standard,high,golden,,
EAC-GC-0023,possession,possessive,I like my car.,I.like(my.car),possession,standard,high,golden,,
EAC-GC-0024,possession,nested,I like my father's car.,I.like(my.father.car),nested possession,standard,high,golden,,
EAC-GC-0025,complement,infinitive,I want to play tennis.,I.want(I.play(tennis)),nested action,standard,high,golden,,
EAC-GC-0026,complement,gerund,I enjoy playing tennis.,I.enjoy(I.play(tennis)),nested action,standard,high,golden,,
EAC-GC-0027,clause,if,"If it rains, I will stay home.",if (it.rains()) { will(I.stay(home)) },condition,standard,high,golden,,
EAC-GC-0028,clause,because,I stayed home because it rained.,I.stayed(home) because(it.rained()),cause,standard,high,golden,,
EAC-GC-0029,clause,and,I ate pizza and drank beer.,I.ate(pizza) and I.drank(beer),coordination,standard,high,golden,,
EAC-GC-0030,clause,but,"I was tired, but I studied.",I = tired but I.studied(),contrast,standard,high,golden,,
EAC-GC-0031,informal,gonna,I'm gonna go home.,going_to(I.go(home)),informal normalization,informal,high,golden,Preserve 'gonna' in source/Inspector.,
EAC-GC-0032,informal,wanna,I wanna see it.,I.want(I.see(it)),informal normalization,informal,high,golden,,
EAC-GC-0033,informal,lemme,Lemme know.,let(me.know()),informal normalization,informal,high,golden,,
EAC-GC-0034,internet,ngl,"Ngl, this is good.",ngl(this = good),discourse marker,internet_casual,high,golden,,
